"","account_id","client_id","district_id.x","client_age","gender","name","region","no..of.inhabitants","no..of.municipalities.with.inhabitants...499","no..of.municipalities.with.inhabitants.500.1999","no..of.municipalities.with.inhabitants.2000.9999","no..of.municipalities.with.inhabitants..10000","no..of.cities","ratio.of.urban.inhabitants","average.salary","unemploymant.rate..95","unemploymant.rate..96","no..of.enterpreneurs.per.1000.inhabitants","no..of.commited.crimes..95","no..of.commited.crimes..96","disp_id","type","district_id.y","frequency","account_age"
"20",15,20,46,37,"M","Nachod","east Bohemia",112709,48,20,7,3,10,73.5,8369,19,2.31,117,37,2618,20,"OWNER",70,"monthly issuance",23
"21",16,21,12,64,"F","Pribram","central Bohemia",107870,84,29,6,1,6,58,8754,51,4.31,137,49,3868,21,"OWNER",12,"monthly issuance",19
"22",17,22,1,47,"F","Hl.m. Praha","Prague",1204953,0,0,0,1,1,100,12541,2,0.43,167,73,99107,22,"OWNER",1,"monthly issuance",19
"23",17,23,1,43,"M","Hl.m. Praha","Prague",1204953,0,0,0,1,1,100,12541,2,0.43,167,73,99107,23,"DISPONENT",1,"monthly issuance",19
"24",18,24,43,77,"F","Hradec Kralove","east Bohemia",161854,73,21,6,1,6,76.3,9425,17,2.5,125,52,3891,24,"OWNER",43,"weekly issuance",23
"25",19,25,21,77,"F","Tabor","south Bohemia",103347,87,16,7,1,7,67,9104,13,2.07,123,29,2354,25,"OWNER",21,"monthly issuance",21
"26",20,26,74,47,"F","Ostrava - mesto","north Moravia",323870,0,0,0,1,1,100,10673,59,5.44,100,19,18347,26,"OWNER",74,"monthly issuance",20
"27",21,27,54,50,"F","Brno - mesto","south Moravia",387570,0,0,0,1,1,100,9897,14,1.96,140,17,18696,27,"OWNER",54,"monthly issuance",19
"28",22,28,1,71,"M","Hl.m. Praha","Prague",1204953,0,0,0,1,1,100,12541,2,0.43,167,73,99107,28,"OWNER",1,"monthly issuance",22
"29",23,29,30,65,"F","Sokolov","west Bohemia",94812,15,13,8,2,10,81.8,9650,43,3.67,100,39,2804,29,"OWNER",30,"monthly issuance",23
"30",24,30,74,59,"F","Ostrava - mesto","north Moravia",323870,0,0,0,1,1,100,10673,59,5.44,100,19,18347,30,"OWNER",74,"monthly issuance",20
"31",25,31,68,54,"M","Frydek - Mistek","north Moravia",228848,15,40,18,2,6,57.2,9893,54,4.72,96,65,5887,31,"OWNER",68,"monthly issuance",20
"32",26,32,52,36,"M","Usti nad Orlici","east Bohemia",139012,59,41,8,3,10,61.9,8363,29,3.49,108,30,2799,32,"OWNER",52,"monthly issuance",23
"33",27,33,73,68,"F","Opava","north Moravia",182027,17,49,12,2,7,56.4,8746,42,3.74,90,56,4433,33,"OWNER",73,"monthly issuance",23
"34",29,36,7,38,"F","Melnik","central Bohemia",94725,38,28,1,3,6,63.4,9920,23,2.87,130,54,4846,36,"OWNER",7,"monthly issuance",22
"35",29,37,7,46,"M","Melnik","central Bohemia",94725,38,28,1,3,6,63.4,9920,23,2.87,130,54,4846,37,"DISPONENT",7,"monthly issuance",22
"36",30,38,36,43,"F","Liberec","north Bohemia",159617,29,19,8,1,9,85.2,9198,42,4.28,131,66,6132,38,"OWNER",36,"monthly issuance",21
"37",31,39,68,48,"M","Frydek - Mistek","north Moravia",228848,15,40,18,2,6,57.2,9893,54,4.72,96,65,5887,39,"OWNER",68,"monthly issuance",22
"38",32,40,5,59,"F","Kolin","central Bohemia",95616,65,30,4,1,6,51.4,9307,52,4.43,118,32,3040,40,"OWNER",5,"monthly issuance",21
"39",33,41,22,48,"M","Domazlice","west Bohemia",58400,65,16,4,1,6,52.4,8620,7,1.25,100,4,1117,41,"OWNER",22,"monthly issuance",23
"40",34,42,68,81,"M","Frydek - Mistek","north Moravia",228848,15,40,18,2,6,57.2,9893,54,4.72,96,65,5887,42,"OWNER",67,"weekly issuance",23
"41",35,43,75,96,"M","Prerov","north Moravia",138032,67,30,4,2,5,64.6,8819,62,5.66,99,51,4505,43,"OWNER",75,"monthly issuance",23
"42",36,44,38,39,"F","Louny","north Bohemia",85852,41,23,4,2,4,59.8,8965,70,8.23,104,34,2822,44,"OWNER",1,"monthly issuance",23
"43",37,45,20,64,"M","Strakonice","south Bohemia",70646,94,14,3,1,4,58.4,8547,32,3.64,120,7,1542,45,"OWNER",20,"monthly issuance",19
"44",38,46,19,76,"F","Prachatice","south Bohemia",51428,50,11,3,1,4,52.7,8402,39,3.98,120,76,1099,46,"OWNER",19,"weekly issuance",19
"45",39,47,76,82,"M","Sumperk","north Moravia",127369,31,32,13,2,7,51.2,8369,58,5.88,107,48,2807,47,"OWNER",36,"monthly issuance",23
"46",40,48,16,76,"M","Jindrichuv Hradec","south Bohemia",93931,74,21,10,1,8,56.9,8427,8,1.54,107,18,1913,48,"OWNER",64,"monthly issuance",23
"47",41,49,72,57,"F","Olomouc","north Moravia",226122,32,50,7,4,4,62.6,8994,50,4.79,110,74,9208,49,"OWNER",72,"monthly issuance",19
"48",42,50,39,38,"F","Most","north Bohemia",119895,17,4,3,2,4,89.9,10446,71,9.4,90,59,4743,50,"OWNER",39,"monthly issuance",20
"49",43,51,36,37,"F","Liberec","north Bohemia",159617,29,19,8,1,9,85.2,9198,42,4.28,131,66,6132,51,"OWNER",36,"monthly issuance",22
"50",44,52,32,92,"M","Ceska Lipa","north Bohemia",105058,32,19,7,2,10,81,9272,35,3.22,118,55,4505,52,"OWNER",32,"monthly issuance",23
"51",45,53,64,39,"M","Zlin","south Moravia",197099,29,41,10,2,10,74.7,9624,14,2.31,145,57,4265,53,"OWNER",64,"monthly issuance",19
"52",47,55,45,68,"F","Jicin","east Bohemia",77917,85,19,6,1,5,53.5,8390,24,2.89,132,21,2122,55,"OWNER",45,"monthly issuance",23
"53",48,56,21,56,"M","Tabor","south Bohemia",103347,87,16,7,1,7,67,9104,13,2.07,123,29,2354,56,"OWNER",21,"monthly issuance",20
"54",48,57,21,55,"F","Tabor","south Bohemia",103347,87,16,7,1,7,67,9104,13,2.07,123,29,2354,57,"DISPONENT",21,"monthly issuance",20
"55",49,58,1,89,"F","Hl.m. Praha","Prague",1204953,0,0,0,1,1,100,12541,2,0.43,167,73,99107,58,"OWNER",1,"monthly issuance",19
"56",50,59,1,59,"M","Hl.m. Praha","Prague",1204953,0,0,0,1,1,100,12541,2,0.43,167,73,99107,59,"OWNER",1,"monthly issuance",22
"57",51,60,67,36,"M","Bruntal","north Moravia",106054,38,25,6,2,6,63.1,8110,65,6.55,109,41,3079,60,"OWNER",67,"monthly issuance",20
"58",52,61,16,68,"F","Jindrichuv Hradec","south Bohemia",93931,74,21,10,1,8,56.9,8427,8,1.54,107,18,1913,61,"OWNER",16,"monthly issuance",19
"59",53,62,77,84,"M","Vsetin","north Moravia",148545,8,35,12,3,4,53.5,8909,53,5.56,113,43,3590,62,"OWNER",77,"monthly issuance",21
"60",54,63,4,57,"M","Kladno","central Bohemia",149893,63,29,6,2,6,67.4,9753,56,5.05,109,63,5892,63,"OWNER",4,"monthly issuance",21
"61",55,64,20,90,"M","Strakonice","south Bohemia",70646,94,14,3,1,4,58.4,8547,32,3.64,120,7,1542,64,"OWNER",20,"monthly issuance",20
"62",56,65,50,73,"F","Svitavy","east Bohemia",102609,75,33,2,3,6,52,8187,61,5.45,94,23,2134,65,"OWNER",50,"monthly issuance",22
"63",57,66,1,65,"F","Hl.m. Praha","Prague",1204953,0,0,0,1,1,100,12541,2,0.43,167,73,99107,66,"OWNER",1,"monthly issuance",21
"64",58,67,29,84,"F","Rokycany","west Bohemia",45714,52,10,5,1,6,55.6,8843,36,3.6,113,72,888,67,"OWNER",29,"monthly issuance",20
"65",59,68,43,70,"M","Hradec Kralove","east Bohemia",161854,73,21,6,1,6,76.3,9425,17,2.5,125,52,3891,68,"OWNER",43,"monthly issuance",22
"66",61,70,70,91,"M","Karvina","north Moravia",285387,0,2,8,5,7,89.9,10177,69,7.75,81,75,10108,70,"OWNER",70,"monthly issuance",23
"67",61,71,70,89,"F","Karvina","north Moravia",285387,0,2,8,5,7,89.9,10177,69,7.75,81,75,10108,71,"DISPONENT",70,"monthly issuance",23
"68",62,72,47,93,"M","Pardubice","east Bohemia",162580,83,26,5,1,6,72.8,9538,13,1.81,111,68,5410,72,"OWNER",47,"monthly issuance",23
"69",63,73,22,92,"M","Domazlice","west Bohemia",58400,65,16,4,1,6,52.4,8620,7,1.25,100,4,1117,73,"OWNER",22,"monthly issuance",20
"70",63,74,22,91,"F","Domazlice","west Bohemia",58400,65,16,4,1,6,52.4,8620,7,1.25,100,4,1117,74,"DISPONENT",22,"monthly issuance",20
"71",64,75,64,39,"F","Zlin","south Moravia",197099,29,41,10,2,10,74.7,9624,14,2.31,145,57,4265,75,"OWNER",64,"monthly issuance",19
"72",65,76,36,49,"F","Liberec","north Bohemia",159617,29,19,8,1,9,85.2,9198,42,4.28,131,66,6132,76,"OWNER",36,"monthly issuance",20
"73",66,77,1,60,"F","Hl.m. Praha","Prague",1204953,0,0,0,1,1,100,12541,2,0.43,167,73,99107,77,"OWNER",48,"issuance after transaction",23
"74",67,78,16,72,"F","Jindrichuv Hradec","south Bohemia",93931,74,21,10,1,8,56.9,8427,8,1.54,107,18,1913,78,"OWNER",16,"monthly issuance",22
"75",68,79,37,47,"F","Litomerice","north Bohemia",114006,71,26,6,2,9,62.3,9065,55,5.39,123,53,4166,79,"OWNER",37,"issuance after transaction",22
"76",69,80,64,37,"F","Zlin","south Moravia",197099,29,41,10,2,10,74.7,9624,14,2.31,145,57,4265,80,"OWNER",64,"monthly issuance",20
"77",70,81,8,40,"M","Mlada Boleslav","central Bohemia",112065,95,19,7,1,8,69.4,11277,9,1.44,127,61,4987,81,"OWNER",8,"monthly issuance",21
"78",70,82,8,37,"F","Mlada Boleslav","central Bohemia",112065,95,19,7,1,8,69.4,11277,9,1.44,127,61,4987,82,"DISPONENT",8,"monthly issuance",21
"79",71,83,1,38,"F","Hl.m. Praha","Prague",1204953,0,0,0,1,1,100,12541,2,0.43,167,73,99107,83,"OWNER",1,"monthly issuance",22
"80",71,84,1,37,"M","Hl.m. Praha","Prague",1204953,0,0,0,1,1,100,12541,2,0.43,167,73,99107,84,"DISPONENT",1,"monthly issuance",22
"81",72,85,1,55,"M","Hl.m. Praha","Prague",1204953,0,0,0,1,1,100,12541,2,0.43,167,73,99107,85,"OWNER",1,"weekly issuance",20
"82",72,86,1,47,"F","Hl.m. Praha","Prague",1204953,0,0,0,1,1,100,12541,2,0.43,167,73,99107,86,"DISPONENT",1,"weekly issuance",20
"83",73,87,72,70,"F","Olomouc","north Moravia",226122,32,50,7,4,4,62.6,8994,50,4.79,110,74,9208,87,"OWNER",72,"monthly issuance",23
"84",75,89,1,65,"F","Hl.m. Praha","Prague",1204953,0,0,0,1,1,100,12541,2,0.43,167,73,99107,89,"OWNER",1,"monthly issuance",21
"85",76,90,52,41,"M","Usti nad Orlici","east Bohemia",139012,59,41,8,3,10,61.9,8363,29,3.49,108,30,2799,90,"OWNER",52,"monthly issuance",20
"86",77,91,63,76,"M","Vyskov","south Moravia",86513,38,36,5,1,5,50.5,8288,49,4.52,110,6,1460,91,"OWNER",63,"monthly issuance",20
"87",78,92,74,50,"F","Ostrava - mesto","north Moravia",323870,0,0,0,1,1,100,10673,59,5.44,100,19,18347,92,"OWNER",74,"monthly issuance",23
"88",79,93,3,91,"M","Beroun","central Bohemia",75232,55,26,4,1,5,41.7,8980,22,2.21,111,36,2813,93,"OWNER",3,"monthly issuance",20
"89",80,94,43,69,"M","Hradec Kralove","east Bohemia",161854,73,21,6,1,6,76.3,9425,17,2.5,125,52,3891,94,"OWNER",43,"monthly issuance",21
"90",80,95,43,64,"F","Hradec Kralove","east Bohemia",161854,73,21,6,1,6,76.3,9425,17,2.5,125,52,3891,95,"DISPONENT",43,"monthly issuance",21
"91",81,96,74,44,"M","Ostrava - mesto","north Moravia",323870,0,0,0,1,1,100,10673,59,5.44,100,19,18347,96,"OWNER",74,"monthly issuance",20
"92",82,97,26,51,"M","Plzen - mesto","west Bohemia",170449,0,0,0,1,1,100,10787,31,3.09,131,67,6261,97,"OWNER",26,"monthly issuance",22
"93",83,98,33,43,"F","Decin","north Bohemia",133777,24,17,7,3,11,84.7,8705,64,7.61,116,58,4859,98,"OWNER",26,"monthly issuance",23
"94",83,99,33,43,"M","Decin","north Bohemia",133777,24,17,7,3,11,84.7,8705,64,7.61,116,58,4859,99,"DISPONENT",26,"monthly issuance",23
"95",84,100,44,74,"F","Chrudim","east Bohemia",105606,77,26,7,2,7,53,8254,34,3.76,97,26,2325,100,"OWNER",44,"issuance after transaction",21
"96",85,101,68,73,"M","Frydek - Mistek","north Moravia",228848,15,40,18,2,6,57.2,9893,54,4.72,96,65,5887,101,"OWNER",68,"monthly issuance",19
"97",86,102,74,58,"F","Ostrava - mesto","north Moravia",323870,0,0,0,1,1,100,10673,59,5.44,100,19,18347,102,"OWNER",54,"monthly issuance",23
"98",86,103,74,61,"M","Ostrava - mesto","north Moravia",323870,0,0,0,1,1,100,10673,59,5.44,100,19,18347,103,"DISPONENT",54,"monthly issuance",23
"99",88,105,31,36,"M","Tachov","west Bohemia",51313,34,12,3,1,4,59.2,8930,47,4.2,108,5,1452,105,"OWNER",31,"monthly issuance",20
"100",89,106,68,48,"F","Frydek - Mistek","north Moravia",228848,15,40,18,2,6,57.2,9893,54,4.72,96,65,5887,106,"OWNER",68,"monthly issuance",19
"101",90,107,1,44,"M","Hl.m. Praha","Prague",1204953,0,0,0,1,1,100,12541,2,0.43,167,73,99107,107,"OWNER",1,"monthly issuance",22
"102",91,108,17,53,"M","Pelhrimov","south Bohemia",74062,99,15,4,2,7,61.4,8114,25,2.62,119,2,1181,108,"OWNER",17,"monthly issuance",20
"103",93,110,2,49,"F","Benesov","central Bohemia",88884,80,26,6,2,5,46.7,8507,16,1.85,132,25,2674,110,"OWNER",2,"monthly issuance",20
"104",95,112,1,81,"M","Hl.m. Praha","Prague",1204953,0,0,0,1,1,100,12541,2,0.43,167,73,99107,112,"OWNER",1,"monthly issuance",21
"105",95,113,1,76,"F","Hl.m. Praha","Prague",1204953,0,0,0,1,1,100,12541,2,0.43,167,73,99107,113,"DISPONENT",1,"monthly issuance",21
"106",96,114,74,47,"F","Ostrava - mesto","north Moravia",323870,0,0,0,1,1,100,10673,59,5.44,100,19,18347,114,"OWNER",68,"monthly issuance",23
"107",96,115,74,47,"M","Ostrava - mesto","north Moravia",323870,0,0,0,1,1,100,10673,59,5.44,100,19,18347,115,"DISPONENT",68,"monthly issuance",23
"108",97,116,74,74,"M","Ostrava - mesto","north Moravia",323870,0,0,0,1,1,100,10673,59,5.44,100,19,18347,116,"OWNER",74,"monthly issuance",20
"109",97,117,74,80,"F","Ostrava - mesto","north Moravia",323870,0,0,0,1,1,100,10673,59,5.44,100,19,18347,117,"DISPONENT",74,"monthly issuance",20
"110",98,118,55,94,"M","Brno - venkov","south Moravia",157042,49,70,18,0,9,33.9,8743,20,2.43,111,46,3894,118,"OWNER",55,"monthly issuance",19
"111",98,119,55,94,"F","Brno - venkov","south Moravia",157042,49,70,18,0,9,33.9,8743,20,2.43,111,46,3894,119,"DISPONENT",55,"monthly issuance",19
"112",99,120,1,40,"M","Hl.m. Praha","Prague",1204953,0,0,0,1,1,100,12541,2,0.43,167,73,99107,120,"OWNER",1,"monthly issuance",21
"113",100,121,41,38,"F","Usti nad Labem","north Bohemia",118650,8,8,5,1,3,85.6,9832,41,4.48,114,69,5471,121,"OWNER",41,"monthly issuance",23
"114",101,122,35,53,"F","Jablonec n. Nisou","north Bohemia",88768,10,18,5,1,7,80.5,8867,6,1.21,130,42,3620,122,"OWNER",35,"monthly issuance",20
"115",102,123,11,47,"M","Praha - zapad","central Bohemia",75637,35,36,9,0,7,36.5,9622,3,0.59,154,44,3529,123,"OWNER",11,"monthly issuance",23
"116",103,124,44,49,"M","Chrudim","east Bohemia",105606,77,26,7,2,7,53,8254,34,3.76,97,26,2325,124,"OWNER",44,"monthly issuance",20
"117",104,125,37,80,"M","Litomerice","north Bohemia",114006,71,26,6,2,9,62.3,9065,55,5.39,123,53,4166,125,"OWNER",37,"monthly issuance",23
"118",104,126,37,87,"F","Litomerice","north Bohemia",114006,71,26,6,2,9,62.3,9065,55,5.39,123,53,4166,126,"DISPONENT",37,"monthly issuance",23
"119",105,127,21,66,"F","Tabor","south Bohemia",103347,87,16,7,1,7,67,9104,13,2.07,123,29,2354,127,"OWNER",21,"monthly issuance",19
"120",106,128,63,43,"F","Vyskov","south Moravia",86513,38,36,5,1,5,50.5,8288,49,4.52,110,6,1460,128,"OWNER",63,"monthly issuance",22
"121",107,129,64,69,"F","Zlin","south Moravia",197099,29,41,10,2,10,74.7,9624,14,2.31,145,57,4265,129,"OWNER",64,"monthly issuance",23
"122",108,130,53,74,"M","Blansko","south Moravia",107911,88,33,6,2,7,50.9,8240,30,3.56,99,16,1903,130,"OWNER",53,"monthly issuance",21
"123",109,131,53,39,"F","Blansko","south Moravia",107911,88,33,6,2,7,50.9,8240,30,3.56,99,16,1903,131,"OWNER",53,"monthly issuance",19
"124",110,132,36,63,"M","Liberec","north Bohemia",159617,29,19,8,1,9,85.2,9198,42,4.28,131,66,6132,132,"OWNER",36,"monthly issuance",20
"125",112,134,6,84,"M","Kutna Hora","central Bohemia",77963,60,23,4,2,4,51.5,8546,38,4.02,126,33,3120,134,"OWNER",6,"monthly issuance",23
"126",112,135,6,78,"F","Kutna Hora","central Bohemia",77963,60,23,4,2,4,51.5,8546,38,4.02,126,33,3120,135,"DISPONENT",6,"monthly issuance",23
"127",113,136,55,95,"F","Brno - venkov","south Moravia",157042,49,70,18,0,9,33.9,8743,20,2.43,111,46,3894,136,"OWNER",55,"monthly issuance",20
"128",114,137,60,93,"M","Prostejov","south Moravia",110643,49,41,4,1,4,51.9,8441,45,4.48,115,20,2252,137,"OWNER",60,"monthly issuance",19
"129",115,138,54,44,"F","Brno - mesto","south Moravia",387570,0,0,0,1,1,100,9897,14,1.96,140,17,18696,138,"OWNER",68,"monthly issuance",23
"130",116,139,8,57,"F","Mlada Boleslav","central Bohemia",112065,95,19,7,1,8,69.4,11277,9,1.44,127,61,4987,139,"OWNER",8,"monthly issuance",20
"131",116,140,8,55,"M","Mlada Boleslav","central Bohemia",112065,95,19,7,1,8,69.4,11277,9,1.44,127,61,4987,140,"DISPONENT",8,"monthly issuance",20
"132",117,141,31,91,"M","Tachov","west Bohemia",51313,34,12,3,1,4,59.2,8930,47,4.2,108,5,1452,141,"OWNER",31,"monthly issuance",23
"133",118,142,68,79,"M","Frydek - Mistek","north Moravia",228848,15,40,18,2,6,57.2,9893,54,4.72,96,65,5887,142,"OWNER",68,"monthly issuance",19
"134",119,143,27,38,"M","Plzen - jih","west Bohemia",67298,71,19,10,0,7,43.8,8561,5,1.29,110,3,1127,143,"OWNER",27,"monthly issuance",23
"135",120,144,65,58,"M","Znojmo","south Moravia",114200,101,41,4,1,4,43.7,8403,63,5.72,105,24,2718,144,"OWNER",65,"weekly issuance",21
"136",121,145,55,38,"M","Brno - venkov","south Moravia",157042,49,70,18,0,9,33.9,8743,20,2.43,111,46,3894,145,"OWNER",55,"monthly issuance",19
"137",122,146,31,55,"F","Tachov","west Bohemia",51313,34,12,3,1,4,59.2,8930,47,4.2,108,5,1452,146,"OWNER",31,"monthly issuance",20
"138",123,147,21,83,"F","Tabor","south Bohemia",103347,87,16,7,1,7,67,9104,13,2.07,123,29,2354,147,"OWNER",21,"monthly issuance",23
"139",123,148,21,76,"M","Tabor","south Bohemia",103347,87,16,7,1,7,67,9104,13,2.07,123,29,2354,148,"DISPONENT",21,"monthly issuance",23
"140",124,149,55,68,"M","Brno - venkov","south Moravia",157042,49,70,18,0,9,33.9,8743,20,2.43,111,46,3894,149,"OWNER",55,"monthly issuance",19
"141",125,150,2,36,"F","Benesov","central Bohemia",88884,80,26,6,2,5,46.7,8507,16,1.85,132,25,2674,150,"OWNER",2,"issuance after transaction",20
"142",126,151,51,45,"F","Trutnov","east Bohemia",121947,37,28,7,3,11,70.5,8541,28,2.97,131,45,3839,151,"OWNER",5,"monthly issuance",23
"143",127,152,29,71,"F","Rokycany","west Bohemia",45714,52,10,5,1,6,55.6,8843,36,3.6,113,72,888,152,"OWNER",29,"monthly issuance",22
"144",128,153,13,35,"F","Rakovnik","central Bohemia",53921,61,22,1,1,2,41.3,8598,33,3.26,123,9,1875,153,"OWNER",2,"monthly issuance",23
"145",129,154,74,83,"M","Ostrava - mesto","north Moravia",323870,0,0,0,1,1,100,10673,59,5.44,100,19,18347,154,"OWNER",74,"monthly issuance",19
"146",129,155,74,77,"F","Ostrava - mesto","north Moravia",323870,0,0,0,1,1,100,10673,59,5.44,100,19,18347,155,"DISPONENT",74,"monthly issuance",19
"147",130,156,54,86,"F","Brno - mesto","south Moravia",387570,0,0,0,1,1,100,9897,14,1.96,140,17,18696,156,"OWNER",54,"monthly issuance",19
"148",131,157,52,73,"F","Usti nad Orlici","east Bohemia",139012,59,41,8,3,10,61.9,8363,29,3.49,108,30,2799,157,"OWNER",52,"monthly issuance",21
"149",132,158,40,71,"F","Teplice","north Bohemia",128118,9,16,6,3,8,85.3,9317,68,7.07,97,71,6872,158,"OWNER",40,"issuance after transaction",20
"150",132,159,40,78,"M","Teplice","north Bohemia",128118,9,16,6,3,8,85.3,9317,68,7.07,97,71,6872,159,"DISPONENT",40,"issuance after transaction",20
"151",133,160,64,74,"F","Zlin","south Moravia",197099,29,41,10,2,10,74.7,9624,14,2.31,145,57,4265,160,"OWNER",64,"weekly issuance",19
"152",134,161,34,73,"F","Chomutov","north Bohemia",125236,28,11,1,4,5,87.7,9675,67,7.68,100,64,5190,161,"OWNER",34,"monthly issuance",19
"153",135,162,65,75,"M","Znojmo","south Moravia",114200,101,41,4,1,4,43.7,8403,63,5.72,105,24,2718,162,"OWNER",75,"monthly issuance",23
"154",136,163,74,83,"M","Ostrava - mesto","north Moravia",323870,0,0,0,1,1,100,10673,59,5.44,100,19,18347,163,"OWNER",74,"monthly issuance",20
"155",137,164,70,54,"F","Karvina","north Moravia",285387,0,2,8,5,7,89.9,10177,69,7.75,81,75,10108,164,"OWNER",70,"monthly issuance",20
"156",138,165,22,48,"M","Domazlice","west Bohemia",58400,65,16,4,1,6,52.4,8620,7,1.25,100,4,1117,165,"OWNER",22,"monthly issuance",21
"157",138,166,22,55,"F","Domazlice","west Bohemia",58400,65,16,4,1,6,52.4,8620,7,1.25,100,4,1117,166,"DISPONENT",22,"monthly issuance",21
"158",139,167,38,38,"F","Louny","north Bohemia",85852,41,23,4,2,4,59.8,8965,70,8.23,104,34,2822,167,"OWNER",38,"weekly issuance",19
"159",140,168,24,40,"F","Karlovy Vary","west Bohemia",122603,25,21,6,2,8,80,8991,11,2.01,128,62,5273,168,"OWNER",24,"monthly issuance",20
"160",141,169,38,63,"M","Louny","north Bohemia",85852,41,23,4,2,4,59.8,8965,70,8.23,104,34,2822,169,"OWNER",38,"monthly issuance",20
"161",141,170,38,70,"F","Louny","north Bohemia",85852,41,23,4,2,4,59.8,8965,70,8.23,104,34,2822,170,"DISPONENT",38,"monthly issuance",20
"162",142,171,51,87,"M","Trutnov","east Bohemia",121947,37,28,7,3,11,70.5,8541,28,2.97,131,45,3839,171,"OWNER",51,"monthly issuance",23
"163",142,172,51,81,"F","Trutnov","east Bohemia",121947,37,28,7,3,11,70.5,8541,28,2.97,131,45,3839,172,"DISPONENT",51,"monthly issuance",23
"164",143,173,21,98,"F","Tabor","south Bohemia",103347,87,16,7,1,7,67,9104,13,2.07,123,29,2354,173,"OWNER",21,"monthly issuance",20
"165",144,174,10,38,"M","Praha - vychod","central Bohemia",92084,55,29,4,3,5,46.7,10124,4,0.54,141,50,4316,174,"OWNER",10,"weekly issuance",19
"166",145,175,31,56,"M","Tachov","west Bohemia",51313,34,12,3,1,4,59.2,8930,47,4.2,108,5,1452,175,"OWNER",31,"monthly issuance",20
"167",146,176,4,87,"M","Kladno","central Bohemia",149893,63,29,6,2,6,67.4,9753,56,5.05,109,63,5892,176,"OWNER",4,"monthly issuance",23
"168",148,178,8,56,"M","Mlada Boleslav","central Bohemia",112065,95,19,7,1,8,69.4,11277,9,1.44,127,61,4987,178,"OWNER",8,"monthly issuance",23
